icd_code,condition_group
F3011,MH6
F3012,MH6
F3013,MH6
F302,MH6
F303,MH6
F304,MH6
F308,MH6
F309,MH6
F310,MH6
F3110,MH6
F3111,MH6
F3112,MH6
F3113,MH6
F312,MH6
F3130,MH6
F3131,MH6
F3132,MH6
F314,MH6
F315,MH6
F3160,MH6
F3161,MH6
F3162,MH6
F3163,MH6
F3164,MH6
F3171,MH6
F3172,MH6
F3173,MH6
F3174,MH6
F3175,MH6
F3176,MH6
F3177,MH6
F3178,MH6
F3181,MH6
F3189,MH6
F319,MH6
F32,MH6
F320,MH6
F321,MH6
F322,MH6
F323,MH6
F324,MH6
F325,MH6
F328,MH6
F329,MH6
F33,MH6
F330,MH6
F331,MH6
F332,MH6
F333,MH6
F3341,MH6
F3342,MH6
F338,MH6
F339,MH6
F348,MH6
F349,MH6
F39,MH6
F41,MH6
F410,MH6
F411,MH6
F413,MH6
F418,MH6
F419,MH6
F431,MH6
F4310,MH6
F4311,MH6
F4312,MH6
F50,MH6
F500,MH6
F5000,MH6
F5001,MH6
F5002,MH6
F502,MH6
F508,MH6
F509,MH6
G545    ,Diabetes
G589    ,Diabetes
G968    ,Diabetes
G988    ,Diabetes
I0981   ,Congestive Heart Failure
I10,Hypertension
I110    ,Congestive Heart Failure
I119    ,Hypertension
I129    ,Hypertension
I130    ,Congestive Heart Failure
I1310   ,Hypertension
I132    ,Congestive Heart Failure
I150    ,Hypertension
I158    ,Hypertension
I169    ,Hypertension
I200    ,CAD
I201    ,CAD
I208    ,CAD
I209    ,CAD
I2109   ,CAD
I2111   ,CAD
I2119   ,CAD
I2129   ,CAD
I213    ,CAD
I214    ,CAD
I219    ,CAD
I21A1   ,CAD
I21A9   ,CAD
I240    ,CAD
I241    ,CAD
I248    ,CAD
I25,CAD
I251,CAD
I2510,CAD
I2511,CAD
I25110,CAD
I25111,CAD
I25118,CAD
I25119,CAD
I252,CAD
I253,CAD
I2541,CAD
I2542,CAD
I255,CAD
I256,CAD
I25700,CAD
I25701,CAD
I25708,CAD
I25709,CAD
I25710,CAD
I25711,CAD
I25718,CAD
I25719,CAD
I25720,CAD
I25721,CAD
I25728,CAD
I25729,CAD
I25730,CAD
I25731,CAD
I25738,CAD
I25739,CAD
I25750,CAD
I25751,CAD
I25758,CAD
I25759,CAD
I25760,CAD
I25761,CAD
I25768,CAD
I25769,CAD
I25790,CAD
I25791,CAD
I25798,CAD
I25799,CAD
I25810,CAD
I25811,CAD
I25812,CAD
I2582,CAD
I2583,CAD
I2584,CAD
I2589,CAD
I259,CAD
